id,products_fromstore,products_frombrand
fortinos,12,0
www-bijou-com,12,0
comercial-mexicana,12,0
azur-promo,12,0
apotheke,12,0
коме-цба,12,0
supermarkt,12,0
konzum,12,0
santa-isabel,12,0
la-grande-epicerie-paris,12,19
jan-linders,12,0
fromageries-chabert,12,0
pine-apple,12,0
station-service,12,0
du-bruit-dans-la-cuisine,12,22
спар,12,0
biofrischmarkt,12,0
zodio,12,0
saint-yrieix-la-perche,12,0
nature-et-decouverte,12,0
aveve,12,124
marks-spencer-food,12,0
supeco,12,0
veg-food,12,12
supermarkets,12,0
grande-distribution,12,0
justo-bueno,12,0
key-food,12,458
famille-mary,12,305
союз,12,0
fakta,12,0
azur-bio,12,0
el-ceibo,12,16
bio-coop,11,0
deza,11,0
ls-proxy,11,0
distributeurs-automatiques,11,0
u2,11,14
mas-y-mas,11,0
real-canadian-superstore,11,0
оливье,11,0
premier,11,18
bodylab24,11,0
selgros,11,0
bodybuilding-depot,11,0
parknshop,11,0
hiperdino,11,0
le-comptoir-irlandais,11,0
dollarama,11,0
biobetica,11,19
avion,11,0
d-hamdi,11,0
brin-d-herbe,11,0
cooo,11,0
magasin-specialise-bio,11,0
s-ryhma,11,0
deen,11,19
kvickly,11,0
plaza-vea,11,0
belvibio,11,0
k-ryhma,11,0
пятерочка,11,0
cosco,11,0
franky,11,0
la-anonima,11,0
σκλαβενιτησ,11,0
oxfam,11,114
smeal-fr,11,0
o-cady-plus,10,0
duty-free,10,0
abc-de-bio,10,0
ulrich,10,0
ad-delhaize,10,0
nature-decouvertes,10,12
dipiu,10,0
idstock,10,0
disneyland-paris,10,15
herbolario-navarro,10,0
plaza-rewe,10,0
leclerc-bourg-les-valence,10,0
allfitnessfactory-de,10,0
ara,10,0
la-francesa,10,17
jeff-de-bruges,10,58
le-comptoir-de-mathilde,10,709
coop-bio-nacre,10,0
the-reject-shop,10,0
top,10,33
v-b,10,0
magasins-vert,10,0
chino,10,0
gortat,10,0
loblaws,10,0
hyper-u-le-rond-point,10,0
basic,10,36
biofrais,10,0
lawson,10,0
volg,10,79
fitnessshop-munster,10,0
la-grande-epicerie,10,16
apteka,10,0
ed,10,0
froiz,10,593
indomaret,10,0
prozis,10,1392
mercado-de-nuestra-senora-de-africa,10,0
leclerc-cleunay,10,0
la-fabrique-a-bretzels-a-gundershoffen,10,0
so-bio,10,0
home-bargains,10,0
gross,10,0
galeria,10,0
aziza,10,0
city-market,10,0
carrefour-wodzisław-śląski,9,0
reliance-fresh,9,0
la-pizza-de-nico,9,0
carrefour-jastrzębie,9,0
rohlik,9,0
aldi-sued,9,0
wasgau,9,0
sklavenitis,9,0
mix-markt,9,0
le-mutant,9,0
albert-heijn-xl,9,0
cereprim,9,0
e-center,9,0
mi-comisariato,9,0
truffaut,9,0
site-web,9,0
sain-bio-z,9,0
cocci-market,9,0
boutique-de-la-marque,9,0
coop-alsace,9,0
verkkokauppa-www-spiceschef-com,9,0
spati,9,0
nettorama,9,0
la-maison-de-la-sardine,9,0
hannaford,9,868
le-marche-de-leopold,9,0
panier-sympa,9,0
fitx,9,0
kliver,9,0
penny-markt,9,0
sprouts,9,370
salon-marjolaine,9,0
tiendas-especializadas,9,0
karkki-herkku,9,0
piedemonte-s-iga,9,0
monop-daily,9,67
osher-ad,9,0
la-case-a-bieres,9,0
fresh,9,34
coaliment,9,280
sapori-d-italia,9,18
magik-depot,9,0
bio-co,9,0
rewe-plaza,9,0
carrefour-trifontaine,9,0
кауфланд,9,0
dan-murphys,9,0
i-tec,9,0
b-m,9,0
carrefour-rybnik,9,0
primaprix,9,0
lecler,9,0
max-plus,9,0
www-carlotaorganic-com,9,0
aire-d-autoroute-a-40,9,0
unimarc,9,0
c-nos-terroirs,9,0
mini-preco,9,0
bip-bip,9,0
destock-ouest,9,0
магнолия,9,0
smart,8,61
hofer-kg,8,0
smatch,8,0
oncos,8,0
ecocentro,8,0
emte,8,0
trinkgut,8,0
le-retour-a-la-terre,8,0
l-ethique-verte,8,0
aprop,8,0
aurrera-bodega,8,0
promocash-carrefour,8,0
whole-food,8,0
local-organic-store,8,0
deco,8,626
markkauf,8,0
paul,8,15
holland-barrett,8,196
asie-nord,8,0
gemoss,8,0
aux-cuistots-anonymes,8,0
centre-leclerc,8,0
фасоль,8,0
magasin-bio-specialise,8,0
netto-markendiscount,8,0
vanuxeem,8,0
k-market-niipperi,8,0
aeroport,8,0
stockomani,8,0
oxfam-magasins-du-monde,8,0
fitmart,8,0
centre-e-leclerc,8,0
poli,8,0
epicerie-de-le-vaud,8,0
eleclerc,8,23
puro-shop,8,0
tosano,8,0
sinob,8,16
texaco,8,0
weiss,8,179
piedra,8,0
casa,8,0
dollar-general,8,0
piotr-i-paweł,8,0
mister-fit-de,8,0
monbana,8,286
boostbox,8,0
coccinelle-express,8,0
private-shops,8,0
mercadolibre,8,0
green,8,0
boutique,8,0
teva-castel,8,0
caseba,8,0
joker,8,196
albert-heyn,8,0
твой-дом,8,0
herbolario,8,0
les-fleurs-du-malt,8,0
food-hub,8,0
adeg,8,0
ihr-kaufmann,8,0
comptoir-irlandais,8,0
pricesmart,8,0
wellcome,8,0
myprotein-com,8,0
dollarstore,8,0
ecomax,8,0
magasin-aksil,8,0
four-square,8,0
euro-disney,8,0
универсам-ооо-888,8,0
www-flamencochueca-com,8,0
nicolas,7,0
walmart-sams-club,7,0
elite,7,81
moulins-de-versailles,7,13
relay,7,0
www-bienmanger-com,7,0
food-and-wine,7,0
ametller-origen,7,856
abasthosur,7,0
recanto-do-mel,7,0
epicerie-iga,7,0
bio-monde,7,0
kmart,7,0
food-lion,7,1263
jardiland,7,0
allyouneedfresh,7,0
sainbury-s,7,0
vollcornerbiomarkt,7,0
zehrs,7,0
salon,7,0
aswak-assalam,7,0
checkers,7,0
familymart,7,0
body-fit,7,279
гиппо,7,0
jampi-glacier,7,0
tesco-lotus,7,0
carrefour-playce-palmeraie,7,0
nature-et-decouvertes,7,0
estafette,7,0
supermercado-dinnos,7,0
rema1000,7,0
supermarches,7,0
v-markt,7,0
atakarejo,7,0
santa-lucia,7,18
ipersimply,7,0
https-www-regimesanssel-fr,7,0
noze,7,0
nouveaux-robinsons,7,0
suisse,7,0
mercacentro,7,0
atelier-nubio,7,0
s-ryhman-myymalat,7,0
asian-market,7,0
casino-supermarche,7,0
nantes,7,0
palais-des-thes,7,906
carrefour-sa,7,0
alsuper,7,0
producteur,7,0
ica-kvantum,7,0
franprix-34-rue-hemet-93300-aubervilliers,7,0
musclemeat-nl,7,0
pressbyran,7,0
kusmi-tea,7,405
air-france,7,0
coop-centro-italia,7,0
passionbio-ca,7,0
dieteticas,7,0
www-snackies-fr,7,0
loblaw,7,0
cora-cafeteria,7,0
frequence-bio,7,0
china-market,7,0
detaillants-boucherie,7,0
shoppers-drug-mart,7,0
country-life,7,14
drive,7,0
doha,7,0
karls,7,57
chata-polska,7,0
fortnum-mason,7,162
σκλαβενιτης,7,0
casino-shop,7,0
supermaxi,7,0
dunnes,7,0
grocery-outlet,7,0
class-croute,7,0
mercato,7,0
coop-jednota,7,0
barwa-village,7,0
todas,6,0
седьмой-континент,6,0
smiths-farm-shop,6,0
confiserie-leblanc,6,0
qfc,6,0
ferme-la,6,0
beillevaire,6,178
bottega-culinaria,6,0
eurasie-bordeaux,6,0
bio-organicos,6,0
vea,6,0
chr,6,0
o-tera,6,0
la-carniceria,6,0
grandes-et-moyennes-surfaces,6,0
foodshop,6,0
carrefour-market-rue-de-sevres,6,0
tedi,6,0
nutritienda,6,0
carrefour-market-massy,6,0
nanuko,6,0
la-central-gourmet,6,0
british-airways,6,0
rungis-market,6,0
zemidluh,6,0
sutter,6,0
comptoir-local,6,0
iga-extra,6,0
237697330187,6,0
natura-si,6,0
muinatural,6,0
carrefour-market-boulogne,6,0
21-place-hotel-dieu-60000-beauvais-france,6,0
harris-farm,6,0
yaaxtal,6,0
chen-market,6,0
http-carlotaorganic-com,6,0
bar,6,0
easy-market,6,0
plodine,6,0
bonus,6,0
otto-s,6,0
correspondance,6,0
save-on-foods,6,0
eataly,6,0
bio-zitive,6,0
india,6,0
supermarkte,6,0
wholefoods,6,0
naouri,6,0
farmacias-guadalajara,6,0
carquefou,6,0
bio-forum,6,0
sucesores-de-ignacio-lopez,6,0
mic-s-body-shop,6,0
hy-vee,6,885
wikirencontre-17102014-cedalyon,6,0
houra-fr,6,0
leclercq,6,0
grumart,6,0
авоська,6,0
bilka,6,0
tlapaleria-gastronomica,6,0
francap,6,0
ferme-attitude,6,0
testabox,6,0
el-rancho-17,6,0
poundland,6,0
st-michel,6,567
inageya,6,0
brake,6,54
yves-rocher,6,92
tienda-online-de-leche-gaza,6,0
g-detou,6,0
